Data,dia,SEMANA,Coordenador,Base,Rotas,DS (%),Utilização (%) - BSC,Utilização - Diario de bordo,Carros em manutenção,Sem Motorista,PNR (Qtd),Enviado para faturamento, Valor Cashout,% PNR Revertido,Ambulância Total,Ambulancia Custo Pralog,Ambulancia pendente de aprovação,NS,Treinamentos motoristas %,Academia do dispatcher,Visita Fantasma / %,Vou para la %,Anjos %,Aceite Scheduling,Scorecard / Telemetria,,Wickos (rotas pendentes de conferencia),Equipamentos off line,,Observações,Coluna1,Coluna2,,,,,,,,,,,,
2-jun.,SEGUNDA,23,Sabrina,SES2,7,"99,4%",,2,0,1,0,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
2-jun.,SEGUNDA,23,Jonathas ,SSP5,0,"0,0%",,0,4,1,0,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
2-jun.,SEGUNDA,23,Jonathas ,SSP30,0,"0,0%",,0,2,0,0,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
3-jun.,TERÇA,23,Erica,SMG2,23,"98,2%",,30,20,0,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
3-jun.,TERÇA,23,Jonathas ,SMG3,10,"99,1%",,10,3,3,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
3-jun.,TERÇA,23,Jonathas ,EMG21,19,"98,5%",,5,1,9,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
3-jun.,TERÇA,23,Erica,SMG6,19,"99,7%",,19,3,1,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
3-jun.,TERÇA,23,Jonathas ,SMG8,16,"99,4%",,16,6,3,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
3-jun.,TERÇA,23,Jonathas ,SMG9,11,"99,5%",,7,2,0,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
3-jun.,TERÇA,23,Erica,SMG12,4,"100,0%",,4,5,1,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
3-jun.,TERÇA,23,Erica,EMG8,21,"99,5%",,16,4,5,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
3-jun.,TERÇA,23,Jonathas ,SMG14,19,"99,2%",,23,14,5,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
3-jun.,TERÇA,23,Sabrina,SRJ1,50,"99,5%",,36,8,1,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
3-jun.,TERÇA,23,Sabrina,SRJ3,21,"99,2%",,18,2,0,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
3-jun.,TERÇA,23,Sabrina,SRJ5,3,"100,0%",,2,3,0,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
3-jun.,TERÇA,23,Sabrina,SRJ8,8,"99,3%",,3,4,0,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
3-jun.,TERÇA,23,Sabrina,SRJ10,28,"98,9%",,26,17,0,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
3-jun.,TERÇA,23,Sabrina,SRJ12,7,"100,0%",,7,2,0,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
3-jun.,TERÇA,23,Sabrina,SES1,26,"98,7%",,27,27,0,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
3-jun.,TERÇA,23,Sabrina,SES2,4,"99,2%",,3,0,1,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
3-jun.,TERÇA,23,Jonathas ,SSP5,0,"0,0%",,7,4,1,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
3-jun.,TERÇA,23,Jonathas ,SSP30,0,"0,0%",,25,4,0,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
4-jun.,QUARTA,23,Erica,SMG2,27,"99,3%",,27,18,0,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
4-jun.,QUARTA,23,Jonathas ,SMG3,9,"99,8%",,10,2,2,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
4-jun.,QUARTA,23,Jonathas ,EMG21,25,"99,2%",,7,1,10,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
4-jun.,QUARTA,23,Erica,SMG6,18,"99,6%",,18,5,1,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
4-jun.,QUARTA,23,Jonathas ,SMG8,17,"99,7%",,16,6,3,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
4-jun.,QUARTA,23,Jonathas ,SMG9,13,"99,9%",,7,2,0,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
4-jun.,QUARTA,23,Erica,SMG12,5,"99,8%",,5,5,1,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
4-jun.,QUARTA,23,Erica,EMG8,17,"99,5%",,,,,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
4-jun.,QUARTA,23,Jonathas ,SMG14,19,"99,3%",,23,13,10,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
4-jun.,QUARTA,23,Sabrina,SRJ1,54,"99,5%",,34,8,1,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
4-jun.,QUARTA,23,Sabrina,SRJ3,22,"99,1%",,19,2,1,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
4-jun.,QUARTA,23,Sabrina,SRJ5,6,"99,7%",,3,3,0,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
4-jun.,QUARTA,23,Sabrina,SRJ8,16,"99,8%",,3,4,0,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
4-jun.,QUARTA,23,Sabrina,SRJ10,28,"99,3%",,26,17,0,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
4-jun.,QUARTA,23,Sabrina,SRJ12,11,"99,4%",,9,2,0,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
4-jun.,QUARTA,23,Sabrina,SES1,26,"97,2%",,29,0,4,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
4-jun.,QUARTA,23,Sabrina,SES2,6,"99,3%",,3,0,1,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
4-jun.,QUARTA,23,Jonathas ,SSP5,0,"0,0%",,7,4,1,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
4-jun.,QUARTA,23,Jonathas ,SSP30,0,"0,0%",,26,4,0,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
5-jun.,QUINTA,23,Erica,SMG2,34,"98,2%",,34,16,0,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
5-jun.,QUINTA,23,Jonathas ,SMG3,10,"96,6%",,10,1,3,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
5-jun.,QUINTA,23,Jonathas ,EMG21,48,"98,9%",,5,1,10,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
5-jun.,QUINTA,23,Erica,SMG6,18,"99,1%",,18,6,0,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
5-jun.,QUINTA,23,Jonathas ,SMG8,16,"99,8%",,16,7,3,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
5-jun.,QUINTA,23,Jonathas ,SMG9,15,"99,9%",,7,2,0,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
5-jun.,QUINTA,23,Erica,SMG12,5,"100,0%",,5,5,1,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
5-jun.,QUINTA,23,Erica,EMG8,29,"98,0%",,,,,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
5-jun.,QUINTA,23,Jonathas ,SMG14,24,"99,4%",,25,12,9,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
5-jun.,QUINTA,23,Sabrina,SRJ1,49,"99,2%",,32,9,1,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
5-jun.,QUINTA,23,Sabrina,SRJ3,28,"99,7%",,20,2,0,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
5-jun.,QUINTA,23,Sabrina,SRJ5,5,"99,8%",,3,3,0,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
5-jun.,QUINTA,23,Sabrina,SRJ8,14,"99,4%",,3,3,0,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
5-jun.,QUINTA,23,Sabrina,SRJ10,29,"98,6%",,27,19,0,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
5-jun.,QUINTA,23,Sabrina,SRJ12,12,"99,9%",,9,2,0,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
5-jun.,QUINTA,23,Sabrina,SES1,23,"98,7%",,27,0,4,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
5-jun.,QUINTA,23,Sabrina,SES2,6,"98,1%",,2,0,2,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
5-jun.,QUINTA,23,Jonathas ,SSP5,0,"0,0%",,7,4,1,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
5-jun.,QUINTA,23,Jonathas ,SSP30,0,"0,0%",,27,4,0,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
6-jun.,SEXTA,23,Erica,SMG2,0,"0,0%",,36,16,0,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
6-jun.,SEXTA,23,Jonathas ,SMG3,10,"95,0%",,11,1,4,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
6-jun.,SEXTA,23,Jonathas ,EMG21,43,"98,6%",,6,2,9,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
6-jun.,SEXTA,23,Erica,SMG6,18,"99,2%",,18,6,0,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
6-jun.,SEXTA,23,Jonathas ,SMG8,17,"99,6%",,16,7,3,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
6-jun.,SEXTA,23,Jonathas ,SMG9,12,"100,0%",,6,2,0,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
6-jun.,SEXTA,23,Erica,SMG12,5,"100,0%",,5,5,1,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
6-jun.,SEXTA,23,Erica,EMG8,23,"98,7%",,,,,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
6-jun.,SEXTA,23,Jonathas ,SMG14,21,"99,4%",,23,13,10,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
6-jun.,SEXTA,23,Sabrina,SRJ1,49,"98,2%",,30,11,1,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
6-jun.,SEXTA,23,Sabrina,SRJ3,23,"99,3%",,19,3,0,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
6-jun.,SEXTA,23,Sabrina,SRJ5,5,"99,8%",,3,3,0,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
6-jun.,SEXTA,23,Sabrina,SRJ8,17,"99,4%",,3,3,0,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
6-jun.,SEXTA,23,Sabrina,SRJ10,32,"97,2%",,29,19,0,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
6-jun.,SEXTA,23,Sabrina,SRJ12,9,"100,0%",,8,2,0,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
6-jun.,SEXTA,23,Sabrina,SES1,25,"98,2%",,30,3,0,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
6-jun.,SEXTA,23,Sabrina,SES2,8,"89,8%",,2,0,2,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
6-jun.,SEXTA,23,Jonathas ,SSP5,0,"0,0%",,7,3,0,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
6-jun.,SEXTA,23,Jonathas ,SSP30,0,"0,0%",,25,4,0,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
7-jun.,SABADO,23,Erica,SMG2,33,"96,1%",,38,15,0,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
7-jun.,SABADO,23,Jonathas ,SMG3,7,"99,0%",,8,2,6,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
7-jun.,SABADO,23,Jonathas ,EMG21,33,"97,0%",,4,2,8,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
7-jun.,SABADO,23,Erica,SMG6,18,"97,7%",,18,5,0,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
7-jun.,SABADO,23,Jonathas ,SMG8,15,"99,5%",,14,7,3,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
7-jun.,SABADO,23,Jonathas ,SMG9,14,"98,6%",,7,2,0,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
7-jun.,SABADO,23,Erica,SMG12,3,"99,6%",,3,3,4,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
7-jun.,SABADO,23,Erica,EMG8,20,"97,4%",,13,0,0,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
7-jun.,SABADO,23,Jonathas ,SMG14,20,"95,9%",,20,13,11,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
7-jun.,SABADO,23,Sabrina,SRJ1,43,"95,5%",,27,10,1,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
7-jun.,SABADO,23,Sabrina,SRJ3,21,"97,0%",,18,1,0,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
7-jun.,SABADO,23,Sabrina,SRJ5,5,"97,3%",,3,3,0,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
7-jun.,SABADO,23,Sabrina,SRJ8,15,"97,1%",,4,3,0,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
7-jun.,SABADO,23,Sabrina,SRJ10,26,"96,9%",,24,1,19,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
7-jun.,SABADO,23,Sabrina,SRJ12,10,"99,4%",,9,2,0,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
7-jun.,SABADO,23,Sabrina,SES1,30,"95,8%",,29,0,4,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
7-jun.,SABADO,23,Sabrina,SES2,6,"86,6%",,2,0,2,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
7-jun.,SABADO,23,Jonathas ,SSP5,0,"0,0%",,2,3,0,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
7-jun.,SABADO,23,Jonathas ,SSP30,0,"0,0%",,6,4,0,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
8-jun.,DOMINGO,24,Erica,SMG2,0,"0,0%",,0,15,0,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
8-jun.,DOMINGO,24,Jonathas ,SMG3,0,"0,0%",,0,2,6,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
8-jun.,DOMINGO,24,Jonathas ,EMG21,0,"0,0%",,0,2,8,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
8-jun.,DOMINGO,24,Erica,SMG6,0,"0,0%",,0,5,0,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
8-jun.,DOMINGO,24,Jonathas ,SMG8,6,"99,9%",,6,7,3,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
8-jun.,DOMINGO,24,Jonathas ,SMG9,0,"0,0%",,0,2,0,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
8-jun.,DOMINGO,24,Erica,SMG12,0,"0,0%",,0,3,4,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
8-jun.,DOMINGO,24,Erica,EMG8,0,"0,0%",,0,0,0,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
8-jun.,DOMINGO,24,Jonathas ,SMG14,10,"98,0%",,8,14,9,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
8-jun.,DOMINGO,24,Sabrina,SRJ1,13,"96,5%",,11,10,1,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
8-jun.,DOMINGO,24,Sabrina,SRJ3,0,"0,0%",,0,1,0,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
8-jun.,DOMINGO,24,Sabrina,SRJ5,0,"0,0%",,0,3,0,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
8-jun.,DOMINGO,24,Sabrina,SRJ8,13,"96,8%",,3,4,0,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
8-jun.,DOMINGO,24,Sabrina,SRJ10,8,"94,3%",,7,1,19,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
8-jun.,DOMINGO,24,Sabrina,SRJ12,0,"0,0%",,0,0,4,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
8-jun.,DOMINGO,24,Sabrina,SES1,0,"0,0%",,0,0,4,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
8-jun.,DOMINGO,24,Sabrina,SES2,0,"0,0%",,0,0,2,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
8-jun.,DOMINGO,24,Jonathas ,SSP5,0,"0,0%",,0,3,0,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
8-jun.,DOMINGO,24,Jonathas ,SSP30,0,"0,0%",,0,4,0,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
9-jun.,SEGUNDA,24,Erica,SMG2,30,"99,1%",,31,16,0,,,,,,,,,0,0,,,75%,,,,,,,,,,,,,,,,,,,,,
9-jun.,SEGUNDA,24,Jonathas ,SMG3,9,"98,3%",,10,2,2,,,,,0,0,0,,0,0,,,100%,,,,,,,,,,,,,,,,,,,,,
9-jun.,SEGUNDA,24,Jonathas ,EMG21,60,"96,7%",,11,0,0,,,,,0,0,0,,0,0,,,50%,,,,,,,,,,,,,,,,,,,,,
9-jun.,SEGUNDA,24,Erica,SMG6,21,"99,2%",,19,5,0,,,,,0,0,0,,0,0,,,100%,,,,,,,,,,,,,,,,,,,,,
9-jun.,SEGUNDA,24,Jonathas ,SMG8,15,"99,6%",,14,7,3,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
9-jun.,SEGUNDA,24,Jonathas ,SMG9,10,"98,4%",,7,2,0,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
9-jun.,SEGUNDA,24,Erica,SMG12,6,"100,0%",,6,3,2,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
9-jun.,SEGUNDA,24,Erica,EMG8,27,"96,6%",,16,0,0,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
9-jun.,SEGUNDA,24,Jonathas ,SMG14,16,"99,1%",,23,14,6,,,,,0,0,0,,0,0,,,50,,,,,,,,,,,,,,,,,,,,,
9-jun.,SEGUNDA,24,Sabrina,SRJ1,36,"99,0%",,26,8,2,,,,,0,0,0,,0,0,,,100,,,,,,,,,,,,,,,,,,,,,
9-jun.,SEGUNDA,24,Sabrina,SRJ3,21,"99,5%",,19,2,0,,,,,0,0,0,,0,0,,,50,,,,,,,,,,,,,,,,,,,,,
9-jun.,SEGUNDA,24,Sabrina,SRJ5,5,"99,7%",,3,3,0,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
9-jun.,SEGUNDA,24,Sabrina,SRJ8,14,"96,4%",,4,3,0,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
9-jun.,SEGUNDA,24,Sabrina,SRJ10,21,"96,2%",,11,1,19,,,,,0,0,0,,0,0,,,100,,,,,,,,,,,,,,,,,,,,,
9-jun.,SEGUNDA,24,Sabrina,SRJ12,11,"99,6%",,9,2,0,,,,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
